marcaCoche,modeloCoche,a√±oCoche,VINCoche
Jeep,Patriot,2011,3LNDL2L30CR840600
Infiniti,G,2006,WAUDH94F66N646794
Dodge,Ram Van 1500,2003,5UXKR2C52F0009954
Mercury,Grand Marquis,2005,2C3CDXFG6FH142506
Lamborghini,Gallardo,2004,WBAEP33495P005548
Cadillac,Eldorado,2000,5FRYD3H84FB370010
Lotus,Esprit,1999,WAUFFAFM5AA702381
GMC,Sonoma,1999,19XFB2E57DE992669
Jeep,Wrangler,2011,WBA6B2C50DD452257
Pontiac,Bonneville,1986,JN1EY1AP7DM616926
GMC,Sonoma,1992,1GYS3AKJ9FR741774
Ford,Probe,1997,1N4AA5AP5BC255762
Mazda,RX-8,2006,19UUA65556A780488
Nissan,Pathfinder,1998,JM1NC2JF0B0716458
Toyota,Land Cruiser,2008,JHMFA3F28BS273906
Porsche,Boxster,2013,WBADR63472G426462
Volvo,XC70,2009,3C63D3NLXCG885806
Studebaker,Avanti,1963,3VW4A7AT7CM113040
Mercedes-Benz,SL-Class,1988,1FMEU7EE7AU351823
Mazda,RX-8,2007,1GYEK63N96R215630
Subaru,Justy,1992,WAUSH78EX8A450512
Toyota,4Runner,2011,1D7RW2BK4AS340330
Ford,Mustang,1984,3GYFNGEY6BS495488
Mitsubishi,Starion,1986,WAUGU44D42N826358
Ford,F-Series,1987,WA1YD54B92N688600
Pontiac,Safari,1988,WBAUN13518V667929
Kia,Amanti,2009,1C4NJPBA2DD864340
Toyota,Camry,2007,JN1BY0AR6AM745962
Mitsubishi,Pajero,1984,JTEBU4BF5CK121648
Audi,TT,2003,4A4AP3AU7EE926546
Mercedes-Benz,S-Class,1993,5UXFB93573L070662
Chevrolet,Express 3500,1997,3C63D2CL1CG896075
Volvo,C70,2006,WBAYP9C52FD382525
BMW,525,2003,2T1KU4EE8DC178808
Chevrolet,Corvette,2008,WAULC68E23A740880
Pontiac,Grand Am,2001,SCBDC47L18C932088
Mercedes-Benz,SLK-Class,2004,1G6DK5EG8A0510809
Chrysler,300M,1999,1G6YX36D785404117
Pontiac,Grand Prix,1989,1D7RB1GP0AS430651
Mercedes-Benz,S-Class,1987,JTDJTUD38ED778859
Honda,Prelude,1986,SCFLDCFP5EG003063
Volkswagen,Passat,1999,1N6AD0CU1EN725931
Buick,Riviera,1995,1C4RDJAG9EC211166
Porsche,911,1992,3GYFNJE43AS384311
Toyota,Xtra,1992,WBAUP73538V477725
Dodge,Ram Van 1500,2000,2HNYD18291H974537
GMC,Sierra,2011,WBAFZ9C56CC945725
Ferrari,F430,2009,1GYS4BEF1CR771714
Chevrolet,Suburban 1500,1997,SCFAD01A55G998579
Lexus,LFA,2012,1N6AA0CC0DN819877
Dodge,Durango,2011,1G6DP8E33C0188714
Ford,Econoline E150,1999,2C4RDGBG2DR136723
Chevrolet,TrailBlazer,2009,2C4JRGAG3ER459700
Aston Martin,V8 Vantage,2008,5N1CR2MM1EC051892
Mitsubishi,Precis,1986,WAUVC68E04A208263
Nissan,NX,1992,WBAWV53548P801093
Nissan,Frontier,2002,WBA3B5G52EN293557
Audi,A5,2012,WVWAA7AH8AV170478
Toyota,T100,1998,5TDBK3EH4DS966695
Volvo,940,1994,3C4PDCAB5ET888193
Chevrolet,3500,1998,KMHHT6KD4BU895142
Chevrolet,Camaro,1970,2T1BURHE7EC616194
Mazda,B-Series,1997,SCBBR9ZA8CC220684
BMW,3 Series,2007,3C63DPML1CG978688
Pontiac,Sunfire,2001,WAUCVAFR6BA766190
Isuzu,Amigo,1992,WDDGF4HB6DG662680
Buick,Riviera,1979,WBA5B1C5XFD450816
Mercedes-Benz,SLK-Class,2005,SALAB2V62FA717454
Subaru,Forester,2000,2C3CCAKT1CH505129
Audi,A5,2009,WAUDG74F56N133673
Lincoln,Town Car,2005,KMHHT6KD4CU817493
Chevrolet,Astro,1994,JN1BY1PP8FM080405
Nissan,Sentra,2000,5UXFA93556L342388
Chevrolet,Astro,2001,1HGCP2E46AA784794
Lincoln,MKZ,2008,WBA3T1C57FP469987
Subaru,Outback,2000,2C3CDXEJ6DH151703
GMC,Vandura G3500,1996,5TDBK3EH6BS771291
Pontiac,Torrent,2009,2G4WY55J211806568
Lotus,Elan,1994,1G6DW677760594331
Land Rover,LR3,2007,5GAKVBKD5EJ913264
Ferrari,458 Italia,2010,JM1GJ1T50E1937084
Land Rover,Freelander,2011,1G6DP1E32C0093391
Chevrolet,Caprice,1994,1G6DF8E59C0045674
GMC,Safari,2000,WBA3B3C57DJ902173
Toyota,Avalon,2006,JH4KB2F50BC041987
Mercedes-Benz,M-Class,1998,3VWML7AJ5CM666682
Ford,Explorer,2001,YV4902BZ3C1164921
Toyota,Land Cruiser,2008,WBABS53402E604634
Ferrari,612 Scaglietti,2006,1GKLRKED4AJ059451
Chrysler,Crossfire,2007,WVWAP7AN8EE201738
Volkswagen,Fox,1988,WBA3X5C53ED321511
Pontiac,Trans Sport,1998,WBA6A0C56ED328521
Suzuki,Swift,2001,1G6DX67D680494808
Mercedes-Benz,SL-Class,1994,SCBGR3ZA7CC053575
Toyota,Avalon,2009,1GTC5MF97C8593423
BMW,3 Series,1992,2C3CCAGG7EH576219
Lincoln,Continental Mark VII,1987,2HNYD28227H079177
Hyundai,Entourage,2009,1G6DP1E32C0895326
Acura,Integra,1996,WAUAFAFH1CN942410
Chevrolet,Impala,2007,1N4AL3AP5DC824790
Chevrolet,Express 3500,2012,WBAYA6C59FG253115
Dodge,Journey,2009,1GYUKEEJ3AR317644
Toyota,Solara,2003,1FTSX2A58AE460289
Chevrolet,Suburban 2500,2004,1GKS1EEF0DR394329
Audi,90,1990,WA1WKAFP7AA728970
Mitsubishi,Pajero,2000,1ZVBP8JZ4E5781483
Lexus,IS F,2010,1ZVBP8AM7B5452955
Acura,NSX,2003,1GYUKJEFXAR941672
Plymouth,Acclaim,1993,1GTN1TEH7EZ042154
GMC,Sierra 3500,2006,WAUDF78E06A484499
Jeep,Patriot,2008,JHMZE2H55ES336435
Toyota,Sienna,2007,WAUMF78P16A047757
Chevrolet,Silverado 1500,2003,5N1AN0NU2EN111219
Subaru,Legacy,1989,1GKS2FFJ1BR975373
Mercury,Tracer,1996,WA1YD64B03N444146
Mitsubishi,Pajero,1998,WA1WMAFE4AD899392
Ford,Edge,2010,SCBBR9ZA2CC247055
Volvo,C30,2012,SCFAB22312K377690
Cadillac,Escalade ESV,2009,1GYS4KEF4ER147179
Ford,Ranger,1992,SAJWA4GB8FL343041
Nissan,Pathfinder,1997,JTDKN3DU3B0313426
Kia,Rondo,2007,1GKS1HE06DR586125
Pontiac,LeMans,1992,JN8AE2KP7B9001922
Ford,Expedition EL,2010,2G61N5S32F9524150
Toyota,Highlander,2006,WAUKFAFLXCA670889
Lexus,SC,2003,JH4KA96502C329942
Toyota,Land Cruiser,1996,19UUA66257A850352
Volkswagen,Rabbit,2006,JN1AY1AR3DM491309
Isuzu,i-370,2008,WBAPT73549C880456
Mercedes-Benz,SL-Class,1984,1C3CDWEA8CD694511
Mazda,RX-7,1993,WA1CGAFE1CD272744
Toyota,RAV4,1996,1N6BF0KM2FN800055
Maserati,Coupe,2005,WDDGF5EBXBA750271
Dodge,Shadow,1992,3C6TD5KT8CG110162
Toyota,Truck Xtracab SR5,1989,1GYS3HEF4DR205103
Subaru,Alcyone SVX,1992,4T1BF1FK9EU402066
Toyota,4Runner,2006,WAUXL58EX5A242814
Pontiac,Sunbird,1984,1FTWW3B59AE370335
Cadillac,Escalade EXT,2011,2G4WB55K921811911
Suzuki,Grand Vitara,2002,2HNYD182X5H282342
Volvo,XC90,2006,19UUA76668A827186
Pontiac,Vibe,2008,5GAKRAED4CJ514708
Volvo,XC60,2011,1C3CDZBG3EN388968
Ford,Excursion,2002,WAUSGAFBXAN658882
Honda,CR-V,2012,WAUDV94F39N304507
Buick,LaCrosse,2007,WBAUP7C51BV643926
Nissan,Maxima,2005,2T2BK1BA9EC019881
Infiniti,FX,2004,WVWED7AJ7CW235636
Ford,Escort,1997,1FTWW3DY4AE509391
Dodge,Viper,1999,4A37L2EFXAE547650
Toyota,RAV4,1999,1GYEC63N35R218941
Hyundai,Genesis,2011,3C63DRGL7CG424868
Chevrolet,Corvette,2003,19XFA1E56AE370170
Mitsubishi,Mighty Max Macro,1993,WBAXA5C51FD571303
Volkswagen,Cabriolet,1991,WBAYE0C56ED199337
Nissan,Quest,2011,WAUGFAFR5EA927793
Daewoo,Leganza,2002,SCBDR33W69C259275
Chevrolet,Tahoe,2009,1C4RDJEG4DC495086
Subaru,Impreza,2005,JM1NC2JF8C0298314
Toyota,Tacoma,1998,WAUHF78P37A599375
Mercedes-Benz,CL-Class,2003,1D7RW3BK9AS126648
Isuzu,i-370,2007,WAUUL78E45A125020
Lotus,Esprit,1995,JTHBK1EG5A2079362
Mazda,929,1991,1VWAP7A31EC379188
Porsche,Boxster,2013,1GYS3JEF2BR342464
Dodge,Caliber,2007,1G6DM1ED3B0874386
Maserati,Spyder,1990,2HNYD189X3H986177
Lexus,GS,2003,2G61R5S38F9963115
Dodge,Dakota,1999,WAUUL98E67A203442
Ford,Festiva,1991,JN8AF5MR6DT282324
Porsche,911,1985,WBAWB33578P374019
Ford,Thunderbird,1997,1C3CDWBA5CD776801
Mercedes-Benz,S-Class,1986,1FADP5AU4DL323084
Hummer,H3,2010,SAJWA6A74F8500129
Chrysler,Sebring,2004,1HGCP2E72BA789194
Chrysler,Town & Country,1992,WAUFL54D21N268724
Mazda,RX-7,1985,2G4GP5EX8E9490340
Porsche,911,2007,3D7LP2ET5AG799302
Jaguar,XJ Series,2001,1FTSW2B52AE438600
Volkswagen,Type 2,1987,WAU2GAFC8DN451176
Toyota,Tundra,2012,KMHTC6ADXDU874407
Chevrolet,APV,1992,WBAWL13557P637057
Mercedes-Benz,W201,1993,1N6AD0CU2AC823971
BMW,Z3,2002,1GD322CG6EF617902
BMW,3 Series,2002,1GD01ZCG8BF153991
Ford,Fairlane,1967,KMHHT6KD8CU377990
Lincoln,MKX,2012,WAUGU44D52N723921
Chrysler,Crossfire Roadster,2006,YV1612FHXD1636872
Ford,Laser,1985,WBAYM9C57DD183850
Ford,Mustang,1969,19XFA1E67AE282169
Ford,Aerostar,1988,WBAFU9C55DD172076
Ford,F150,1994,5UXKR0C52E0110320
Dodge,Caravan,2006,137ZA83311E379820
Buick,Enclave,2008,1NXBU4EE2AZ651516
Suzuki,Grand Vitara,2003,1GYEK63NX2R958243
Subaru,Impreza,1994,1G4CW54KX44787957
Audi,A7,2012,5N1BA0NE9FN827190
BMW,Z4,2003,KNADH4A32A6400826
Mercedes-Benz,CLK-Class,2002,WBAWB73589P997772
Volvo,XC90,2003,5UXFE4C56AL602412
Chevrolet,Silverado 2500,2010,1D7CW5GK1AS198809
Kia,Amanti,2006,5GAKRCKD5FJ503995
BMW,750,2006,WAULD54BX4N024466
Buick,Century,1991,JTDKDTB37D1849791
Ford,Aerostar,1996,2G4GX5GV4B9750739
Pontiac,Bonneville,1996,3D7JB1EK0AG299555
Ford,F350,2001,1GD12YEG5FF209786
Kia,Sephia,2000,1N6AD0CU1EN546398
Infiniti,EX,2009,WBSWL93518P324504
Aston Martin,V8 Vantage,2009,KNDPB3A29C7175126
Hyundai,Elantra,2003,WAURGAFD2EN575260
Toyota,Camry,1995,SCBZB25E31C566478
Nissan,Altima,1995,1G4PS5SK0F4650853
Toyota,RAV4,2007,JTJHY7AX2F4910490
Ford,Explorer Sport Trac,2009,ML32A3HJ4EH584855
Mercedes-Benz,S-Class,2004,WBA3C1C58EK954506
Jeep,Liberty,2007,2G4GW5EV8B9764276
Kia,Sephia,1996,WDDJK7DA6FF870308
Mitsubishi,Eclipse,2000,2C3CCASG7FH581834
Chevrolet,Volt,2012,5GAKRBKD4FJ604732
Mercury,Cougar,1991,WA1CV94LX9D816883
Ford,Crown Victoria,2009,WDDHF0EB4EA569968
Mitsubishi,Chariot,1989,1GD01XEG4FZ720168
Shelby,GT350,1969,KNADH5A39A6925954
Dodge,Grand Caravan,2001,2FMDK3GCXAB149182
Hyundai,Santa Fe,2004,1GYS4HEF4DR585847
Lexus,ES,1997,5N1AA0ND4EN623205
Ford,C-MAX Hybrid,2013,SCBLF34F16C296507
Land Rover,Range Rover,1986,2G61N5S39D9557224
Toyota,Camry,1993,JH4CL96977C694644
Volkswagen,Passat,1988,JN1CV6APXBM229085
Buick,Park Avenue,1996,3VW467AT2CM139644
Plymouth,Prowler,1997,WBAWB33528P251602
Land Rover,Discovery,2000,JN1AZ4EH3FM834655
Chrysler,PT Cruiser,2007,3N1CE2CP8EL115056
Pontiac,Firefly,1984,1N6BF0KX6FN877974
Ford,Aspire,1997,3D7TP2CT1BG918211
Porsche,928,1989,1G6DH8E57D0831789
Toyota,Matrix,2005,WBABS33471J357302
Pontiac,6000,1984,5J8TB2H56CA021082
Infiniti,G,2004,WP1AA2A24BL261402
Audi,A3,2006,1G6DC8E50C0622827
Lincoln,Continental,1995,1G6DW677560117767
Buick,LeSabre,1996,5UXWX9C5XE0365700
Saturn,Aura,2008,WBA5A7C56FD563670
Dodge,Viper,2005,1G4HC5EM8AU015239
Volvo,S40,2007,5N1AZ2MG0FN318947
Dodge,Dakota Club,1997,3N1AB7AP9FL462610
Toyota,Land Cruiser,1994,1C3CDFDH9ED510355
Cadillac,Eldorado,2000,1GYS4CKJ8FR649886
Toyota,Land Cruiser,2013,3GYFNAEY0BS035515
Cadillac,Escalade EXT,2010,WAUHE98P09A526966
Toyota,Yaris,2011,5NPDH4AE4FH017259
Suzuki,Swift,1988,1D7CE3GK2AS056539
Buick,LaCrosse,2009,WBADT33493G886188
Buick,Lucerne,2009,3N1AB7AP1FY341184
GMC,Savana 2500,2006,3N1CN7AP7FL449483
GMC,Savana 1500,2006,3N1AB6AP8BL922442
Ford,Bronco II,1990,WBAUP7C54AV286837
Chevrolet,K5 Blazer,1995,WAULD54B03N646332
Acura,RL,2012,JN1AZ4EH4FM591731
Chevrolet,Avalanche,2012,WAUAF78E38A983819
BMW,3 Series,1997,3D73Y3HL1AG600812
Volkswagen,Jetta III,1993,1C3CCBCG8EN858520
Volkswagen,GTI,1986,1B3CB5HA2AD354244
Scion,xB,2009,WBA1F5C55FV774177
Volkswagen,Jetta,1985,1G6DH577790699010
BMW,745,2005,3VW8S7AT9FM280812
Pontiac,Torrent,2007,1GD01ZCG6EF749170
Volkswagen,Fox,1990,5FPYK1F20BB637221
Pontiac,Sunbird,1990,WAUWFBFL7BA728608
Subaru,Alcyone SVX,1993,1FBNE3BL9DD113865
Ford,E-Series,2002,5TFBW5F15DX172493
GMC,Sierra 3500,2008,1FTMF1EW9AF473538
Honda,Civic,2001,2C3CDXBG0FH334462
Chevrolet,Silverado 3500,2006,4T1BF1FK3FU221658
Dodge,Caravan,1995,WBA3K5C59EK693400
Audi,A8,2003,WVGEF9BPXDD773393
Buick,Roadmaster,1996,3GYFNFE34ES494035
Ford,F150,2001,19XFA1E58BE942664
Toyota,Avalon,1996,WBA1J7C54EV111384
Chrysler,Crossfire Roadster,2006,1G6DS5E38C0643604
Pontiac,Sunfire,1998,JH4CU2F60CC099686
Kia,Spectra,2005,WAULT68E65A166707
Acura,Integra,1996,4USBT33505L270483
Honda,Prelude,1986,3LN6L2G98DR838750
Suzuki,Kizashi,2010,WBAKE5C54CE578458
Mazda,RX-7,1985,WAUMF78K49N964872
Buick,Skyhawk,1987,4A31K5DF9CE295064
Audi,100,1990,55SWF4JBXFU862103
Chevrolet,Avalanche 1500,2004,WDCYC7DF7FX557063
Mercury,Milan,2009,WAUPL58E05A131107
Buick,LeSabre,2003,WBAGN83424D360685
Ford,Bronco II,1988,WA1YD54B72N108048
Lamborghini,Diablo,1991,WA1LKAFPXAA393027
GMC,Safari,2004,5UXFA53563L069725
Saturn,VUE,2008,1GKMCCE30AR342451
Oldsmobile,Regency,1997,KMHTC6AD5CU164197
BMW,3 Series,1995,3VWF17AT6FM179138
Lexus,ES,1998,2G4WE587X61010196
Chevrolet,Express 2500,1999,SCFEBBCF7CG639016
GMC,1500 Club Coupe,1999,JH4KB2F67CC751852
Lincoln,Mark LT,2007,3VW467AT3DM335500
Cadillac,CTS,2003,1G6DC67A990916248
Lexus,LX,2000,4USDU53427L694291
Jeep,Cherokee,1992,SCBFR7ZA6DC039882
Mazda,Mazda3,2010,5BZAF0AA6FN052643
Chevrolet,Camaro,1998,KMHHU6KJXFU294102
Oldsmobile,Silhouette,1996,WUARL48H78K008275
Dodge,Avenger,1996,1G6AH5R34E0527590
Spyker,C8 Laviolette,2004,1FTWW3B58AE954371
Land Rover,Range Rover,1999,3D7TP2HT7AG754373
Plymouth,Acclaim,1993,5UXWZ7C54F0254897
Lexus,LX,2002,WAUPL58E44A147678
BMW,3 Series,2007,JN1BY1AP3DM162130
Mercedes-Benz,CL-Class,2002,JA32X8HW1AU002070
Volvo,XC90,2011,2G4WC552261151746
BMW,7 Series,1996,5N1AZ2MG0FN149366
Ford,E250,2007,SCBCR63W84C877719
Mazda,CX-7,2008,19UUA8F29AA317293
Acura,TSX,2010,KMHHT6KD6DU967073
Pontiac,Bonneville,1998,YV1852AR6A1433289
GMC,Savana 3500,1997,2D4RN3D11AR008891
Toyota,MR2,1985,2G4WE587X71585402
Chevrolet,K5 Blazer,1995,WBAPH7C57AA942899
Audi,Coupe GT,1986,3D7JB1EP9BG621509
Mitsubishi,Mirage,2000,1N6AD0CU6AC591682
Bentley,Arnage,2006,2CTALBEW1A6836790
Jeep,Liberty,2009,WBAWC33568P947750
Chrysler,Sebring,2002,1GD22XEG5FZ340181
Dodge,Ram Van B150,1993,SCBFU7ZA7DC296998
Hyundai,Azera,2006,JN8AF5MR8CT926016
